Listar Por Lojas;Quebrar Por Forma de pagamento;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;1 - DINHEIRO;7.559,24;174,42;43,34;2,26;;;;;;;;;;;7.559,65;7.559,65;560,80;53,53;96,73;4.404,17;0,00;0,00;0,00;14,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;22 - TEF CREDITO;43.789,96;319,15;137,21;4,13;;;;;;;;;;;43.791,31;43.791,31;879,01;130,56;95,15;25.323,35;0,00;0,00;0,00;6,45
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;23 - TEF DEBITO;1.646,53;174,61;9,43;2,40;;;;;;;;;;;1.646,59;1.646,59;164,90;9,32;98,83;1.365,94;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;24 - POS CREDITO;1.392,30;543,87;2,56;5,80;;;;;;;;;;;1.392,30;1.392,30;254,90;2,56;100,00;1.054,91;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;26 - PIX NO PDV;8.735,95;183,11;47,71;2,61;;;;;;;;;;;8.736,36;8.736,36;634,49;46,16;96,75;4.793,01;0,00;0,00;0,00;6,21
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;30 - VALE TROCA;-0,02;-0,01;3,75;2,72;;;;;;;;;;;1.044,75;0,00;140,35;2,86;76,27;593,21;1.044,75;6,00;0,00;1,34
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;372,35;372,35;92,65;3,00;100,00;15,15;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;37 - Pix Bancário;125,90;125,90;1,00;2,00;;;;;;;;;;;125,90;125,90;0,00;1,00;100,00;63,90;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;5.208,12;127,90;40,72;1,82;;;;;;;;;;;5.208,13;5.208,13;1.868,57;38,72;95,09;1.809,40;0,00;0,00;0,00;18,28
