Listar Por Lojas;Quebrar Por Canal de venda;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;1 - Loja;30.889,08;219,07;141,00;2,57;;;;;;;;;;;30.890,31;30.890,31;2.477,03;139,00;91,45;10.547,83;0,00;0,00;0,00;30,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;11 - Parcerias;0,00;0,00;0,00;0,00;;;;;;;;;;;1.063,01;1.063,01;380,87;11,00;100,00;254,73;0,00;0,00;0,00;5,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;14 - Make Experimentação;5.832,21;265,10;22,00;3,27;;;;;;;;;;;5.832,47;5.832,47;0,00;22,00;100,00;2.314,43;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;24 - Calçada Perfumada;1.007,43;503,71;2,00;5,00;;;;;;;;;;;1.007,47;1.007,47;0,00;2,00;100,00;391,63;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;3 - Whatsapp Oficial;420,30;210,15;2,00;3,00;;;;;;;;;;;420,30;420,30;0,00;1,00;50,00;138,10;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;22.613,62;176,67;128,00;2,43;;;;;;;;;;;22.614,12;22.614,12;3.752,04;125,00;97,66;6.210,07;0,00;0,00;0,00;34,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - Calçada Perfumada;1.882,48;376,50;5,00;3,40;;;;;;;;;;;1.882,48;1.882,48;0,00;5,00;100,00;498,72;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;80.016,18;176,64;453,00;2,42;;;;;;;;;;;80.827,13;80.016,92;18.860,84;477,00;91,73;20.134,83;810,21;5,00;0,00;228,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - Parcerias;0,00;0,00;0,00;0,00;;;;;;;;;;;3.056,33;3.056,33;1.431,81;1,00;4,35;707,51;0,00;0,00;0,00;13,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - Make Experimentação;823,68;274,56;3,00;3,33;;;;;;;;;;;823,68;823,68;0,00;3,00;100,00;236,32;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - Skin Experimentação;9.243,31;256,76;36,00;3,00;;;;;;;;;;;9.243,33;9.243,33;518,57;36,00;100,00;2.349,61;0,00;0,00;0,00;3,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - Calçada Perfumada;1.395,86;279,17;5,00;2,40;;;;;;;;;;;1.395,86;1.395,86;384,87;5,00;100,00;553,94;0,00;0,00;0,00;3,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - Whatsapp Oficial;2.328,48;232,85;10,00;1,90;;;;;;;;;;;2.328,49;2.328,49;426,62;8,00;80,00;900,47;0,00;0,00;0,00;4,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;196,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;15.860,53;148,23;107,00;1,93;;;;;;;;;;;15.940,88;15.860,98;5.044,33;145,00;97,97;5.371,25;79,90;1,00;0,00;97,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - Parcerias;0,00;0,00;0,00;0,00;;;;;;;;;;;685,20;685,20;467,54;0,00;0,00;223,82;0,00;0,00;0,00;5,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - Make Experimentação;40.300,25;247,24;163,00;3,17;;;;;;;;;;;40.545,18;40.300,38;4.485,79;164,00;100,00;13.703,32;244,80;2,00;0,00;29,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - Skin Experimentação;729,69;145,94;5,00;2,20;;;;;;;;;;;729,69;729,69;79,90;5,00;100,00;164,16;0,00;0,00;0,00;1,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - Calçada Perfumada;3.673,65;204,09;18,00;3,67;;;;;;;;;;;3.673,67;3.673,67;94,90;18,00;100,00;1.125,62;0,00;0,00;0,00;1,00
